image_path,label,split
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_22016484_noise_speed.png,india,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_33565535_pitch_pitch.png,canadian,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_27173968_pitch_speed.png,scottish,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_36541_pitch_speed.png,india,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_37441785_pitch.png,canadian,train
data/dataset/spectrograms/train/India_dataset_common_voice_en_31867883.png,india,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_39602644_speed_pitch.png,irish,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_57056_noise_speed.png,canadian,train
data/dataset/spectrograms/train/India_dataset_common_voice_en_405539.png,india,train
data/dataset/spectrograms/train/Australian_dataset___augmented_1_common_voice_en_40234473_speed.png,australian,train
data/dataset/spectrograms/test/American_dataset___augmented_1_common_voice_en_32778_noise.png,american,test
data/dataset/spectrograms/test/England_dataset___augmented_1_common_voice_en_32655447_speed.png,england,test
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_38594611_speed_speed_speed.png,slavic,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_575_speed_noise.png,american,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_34076_speed.png,india,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_17404284_noise_noise.png,filipino,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_19224053_noise_speed.png,scottish,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_2_common_voice_en_32960341_pitch_speed.png,slavic,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_20837535_pitch_pitch_speed.png,filipino,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_2_common_voice_en_35130683_speed_pitch.png,slavic,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_32745_speed_speed.png,australian,train
data/dataset/spectrograms/test/American_dataset___augmented_2_common_voice_en_32778_noise_noise.png,american,test
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_684092_noise.png,india,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_22010530_noise.png,india,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_36456234_pitch.png,india,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_39901062_speed.png,irish,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_30473436_noise_noise.png,australian,train
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_37528103_noise.png,england,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_34980360_speed_speed.png,american,train
data/dataset/spectrograms/test/Slavic_dataset___augmented_3_common_voice_en_33740536_noise_speed_speed.png,slavic,test
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_30750963_pitch.png,england,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_36827087_noise_noise.png,filipino,train
data/dataset/spectrograms/test/Irish_dataset___augmented_1_common_voice_en_18713070_speed.png,irish,test
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_39590034_speed_noise.png,australian,train
data/dataset/spectrograms/test/England_dataset___augmented_1_common_voice_en_32672549_noise.png,england,test
data/dataset/spectrograms/test/Irish_dataset___augmented_2_common_voice_en_12896_pitch_speed.png,irish,test
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_39940135_speed_noise_noise.png,slavic,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_19024457_pitch_noise.png,irish,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_31692279_noise.png,india,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_41942247_pitch_pitch_pitch.png,slavic,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_19046551_noise.png,irish,train
data/dataset/spectrograms/test/Slavic_dataset___augmented_3_common_voice_en_37157755_speed_noise_pitch.png,slavic,test
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_103375_noise.png,india,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_17795814_pitch_speed.png,australian,train
data/dataset/spectrograms/test/England_dataset___augmented_1_common_voice_en_32688701_noise.png,england,test
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_39253599_pitch_speed_noise.png,slavic,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_25244603_pitch_speed.png,canadian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_39759410_speed_pitch.png,australian,train
data/dataset/spectrograms/test/Scottish_dataset_common_voice_en_153887.png,scottish,test
data/dataset/spectrograms/train/American_dataset___augmented_1_common_voice_en_32648900_noise.png,american,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_17927449_noise_noise.png,filipino,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_31413802_noise_pitch.png,india,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_20039913_pitch_noise.png,filipino,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_25575607_noise.png,canadian,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_141102_pitch_pitch.png,scottish,train
data/dataset/spectrograms/test/Slavic_dataset___augmented_2_common_voice_en_35885697_noise_speed.png,slavic,test
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_17395843_speed_speed.png,australian,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_30750963_pitch_pitch.png,england,train
data/dataset/spectrograms/train/Scottish_dataset_common_voice_en_613597.png,scottish,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_11181_speed_noise.png,american,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_1_common_voice_en_24977923_noise.png,filipino,train
data/dataset/spectrograms/train/American_dataset_common_voice_en_32644080.png,american,train
data/dataset/spectrograms/train/Canadian_dataset_common_voice_en_25575607.png,canadian,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_582758_speed.png,india,train
data/dataset/spectrograms/train/Filipino_dataset_common_voice_en_20039913.png,filipino,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_32833626_pitch_speed.png,india,train
data/dataset/spectrograms/test/Australian_dataset___augmented_1_common_voice_en_37154432_speed.png,australian,test
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_19598456_noise_speed.png,scottish,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_31811017_noise_speed.png,american,train
data/dataset/spectrograms/train/American_dataset___augmented_1_common_voice_en_34980360_pitch.png,american,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_37841857_speed_noise_noise.png,slavic,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_32783329_speed_speed.png,scottish,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_136789_speed_pitch.png,canadian,train
data/dataset/spectrograms/test/Filipino_dataset___augmented_1_common_voice_en_187059_noise.png,filipino,test
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_532618_noise_pitch.png,filipino,train
data/dataset/spectrograms/train/American_dataset___augmented_1_common_voice_en_37037383_speed.png,american,train
data/dataset/spectrograms/test/Slavic_dataset___augmented_2_common_voice_en_36650153_speed_speed.png,slavic,test
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_33110446_speed_pitch.png,england,train
data/dataset/spectrograms/test/American_dataset___augmented_1_common_voice_en_34321811_speed.png,american,test
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_39562476_noise.png,canadian,train
data/dataset/spectrograms/test/Australian_dataset___augmented_1_common_voice_en_37318131_speed.png,australian,test
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_532618_speed_speed.png,filipino,train
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_37824060_pitch.png,england,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_548350_pitch_pitch.png,filipino,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_33001317_pitch_speed.png,australian,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_36827097_speed_noise.png,filipino,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_20483330_pitch.png,irish,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_1_common_voice_en_40063901_pitch.png,filipino,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_2_common_voice_en_39764961_speed_noise.png,slavic,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_2_common_voice_en_41942247_speed_noise.png,slavic,train
data/dataset/spectrograms/train/India_dataset_common_voice_en_19088.png,india,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_39575171_speed_pitch.png,australian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_32740972_speed_pitch.png,australian,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_37793837_noise_noise_pitch.png,slavic,train
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_32702865_noise.png,england,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_19968003_pitch_noise.png,irish,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_35085265_pitch.png,india,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_23602695_speed_noise.png,irish,train
data/dataset/spectrograms/train/Australian_dataset___augmented_1_common_voice_en_38563872_speed.png,australian,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_30517058_noise.png,india,train
data/dataset/spectrograms/train/Australian_dataset_common_voice_en_32643969.png,australian,train
data/dataset/spectrograms/test/England_dataset___augmented_1_common_voice_en_32798505_speed.png,england,test
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_22015797_noise.png,india,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_1_common_voice_en_41951792_noise.png,scottish,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_32640759_speed_speed.png,australian,train
data/dataset/spectrograms/test/Scottish_dataset___augmented_2_common_voice_en_19728321_speed_speed.png,scottish,test
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_36647036_pitch_speed_speed.png,slavic,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_20287558_noise_speed.png,irish,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_40114352_pitch_speed_noise.png,slavic,train
data/dataset/spectrograms/train/India_dataset_common_voice_en_1272597.png,india,train
data/dataset/spectrograms/train/Irish_dataset_common_voice_en_27483506.png,irish,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_36541_pitch_noise.png,india,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_195620_noise_noise.png,canadian,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_18167735_noise_pitch.png,irish,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_40943937_pitch_pitch_speed.png,slavic,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_1_common_voice_en_19081508_speed.png,scottish,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_25260_speed_speed.png,india,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_19081508_noise_speed.png,scottish,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_610337_pitch.png,irish,train
data/dataset/spectrograms/train/Australian_dataset_common_voice_en_39582932.png,australian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_36935082_pitch_noise.png,australian,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_17147853_speed_pitch.png,filipino,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_38201480_pitch.png,canadian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_32643496_pitch_speed.png,australian,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_30750963_noise_speed.png,england,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_17516873_noise_pitch.png,england,train
data/dataset/spectrograms/test/India_dataset___augmented_2_common_voice_en_175025_speed_pitch.png,india,test
data/dataset/spectrograms/train/Australian_dataset___augmented_1_common_voice_en_220473_pitch.png,australian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_40211359_noise_pitch.png,australian,train
data/dataset/spectrograms/test/Irish_dataset___augmented_2_common_voice_en_19657558_pitch_pitch.png,irish,test
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_209718_pitch_noise.png,england,train
data/dataset/spectrograms/test/Scottish_dataset___augmented_1_common_voice_en_563327_pitch.png,scottish,test
data/dataset/spectrograms/test/American_dataset___augmented_1_common_voice_en_20285291_pitch.png,american,test
data/dataset/spectrograms/train/Australian_dataset___augmented_1_common_voice_en_17922252_pitch.png,australian,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_32795792_speed_noise.png,american,train
data/dataset/spectrograms/train/Canadian_dataset_common_voice_en_152170.png,canadian,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_25200109_speed_speed.png,scottish,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_32647377_speed.png,canadian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_1_common_voice_en_17922252_noise.png,australian,train
data/dataset/spectrograms/test/Slavic_dataset___augmented_2_common_voice_en_36650153_speed_pitch.png,slavic,test
data/dataset/spectrograms/train/Scottish_dataset___augmented_1_common_voice_en_24477351_speed.png,scottish,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_40063901_noise_noise.png,filipino,train
data/dataset/spectrograms/test/Slavic_dataset___augmented_1_common_voice_en_39577757_noise.png,slavic,test
data/dataset/spectrograms/train/Scottish_dataset___augmented_1_common_voice_en_491113_speed.png,scottish,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_1_common_voice_en_21490021_pitch.png,scottish,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_27681755_noise.png,irish,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_643445_speed_noise.png,australian,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_39567156_noise_pitch.png,irish,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_40279986_speed_speed.png,australian,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_35269060_pitch_pitch.png,india,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_189965_pitch.png,canadian,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_36811619_speed_noise.png,scottish,train
data/dataset/spectrograms/test/Australian_dataset___augmented_2_common_voice_en_32993_pitch_noise.png,australian,test
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_30733690_pitch_speed.png,american,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_32762812_pitch_pitch.png,canadian,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_207991_pitch_noise.png,american,train
data/dataset/spectrograms/test/Canadian_dataset___augmented_1_common_voice_en_49943_noise.png,canadian,test
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_461012_speed_noise.png,irish,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_1_common_voice_en_21684339_noise.png,scottish,train
data/dataset/spectrograms/test/Irish_dataset___augmented_1_common_voice_en_19657558_speed.png,irish,test
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_27270043_speed_speed.png,india,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_36728935_speed_noise.png,canadian,train
data/dataset/spectrograms/test/Irish_dataset_common_voice_en_19577361.png,irish,test
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_155537_noise_pitch.png,canadian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_1_common_voice_en_166555_noise.png,australian,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_17812357_pitch.png,irish,train
data/dataset/spectrograms/test/Canadian_dataset___augmented_2_common_voice_en_17287699_speed_pitch.png,canadian,test
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_32431318_speed.png,england,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_2_common_voice_en_36925030_pitch_speed.png,slavic,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_39253599_pitch_noise_noise.png,slavic,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_31458450_speed.png,india,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_32811086_speed_pitch.png,irish,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_25244603_pitch_pitch.png,canadian,train
data/dataset/spectrograms/train/American_dataset_common_voice_en_17522.png,american,train
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_32825487_noise.png,england,train
data/dataset/spectrograms/test/American_dataset___augmented_1_common_voice_en_34324135_pitch.png,american,test
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_32643496_speed_speed.png,australian,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_37171739_noise.png,india,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_19763499_speed.png,irish,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_30517058_pitch.png,india,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_38594611_pitch_noise_pitch.png,slavic,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_41798570_pitch_pitch.png,canadian,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_110182_speed_noise.png,canadian,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_17252593_pitch_pitch.png,irish,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_19679314_pitch_noise.png,irish,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_18728179_noise_noise.png,irish,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_663212_pitch_speed.png,irish,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_32684427_pitch_speed.png,american,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_121582_pitch_pitch.png,scottish,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_158885_pitch_speed.png,irish,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_30517058_pitch_noise.png,india,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_32704583_speed_speed.png,american,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_2132_pitch_noise.png,india,train
data/dataset/spectrograms/train/American_dataset_common_voice_en_36864850.png,american,train
data/dataset/spectrograms/test/Scottish_dataset___augmented_1_common_voice_en_25213936_pitch.png,scottish,test
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_606019_pitch_speed.png,australian,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_1_common_voice_en_19642336_speed.png,scottish,train
data/dataset/spectrograms/test/India_dataset___augmented_1_common_voice_en_30948211_pitch.png,india,test
data/dataset/spectrograms/train/Australian_dataset_common_voice_en_39596733.png,australian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_1_common_voice_en_38563872_pitch.png,australian,train
data/dataset/spectrograms/train/Scottish_dataset_common_voice_en_32790068.png,scottish,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_32754849_pitch.png,canadian,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_32642505_pitch_speed.png,american,train
data/dataset/spectrograms/train/Canadian_dataset_common_voice_en_17388636.png,canadian,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_31489951_speed_speed.png,england,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_32647377_pitch.png,canadian,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_37565619_pitch_pitch.png,filipino,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_20347364_speed.png,canadian,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_33314081_pitch_speed.png,england,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_24000987_speed_speed_pitch.png,filipino,train
data/dataset/spectrograms/train/Slavic_dataset_common_voice_en_39589008.png,slavic,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_1_common_voice_en_41850053_pitch.png,slavic,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_22936684_speed_speed.png,canadian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_1_common_voice_en_49225_pitch.png,australian,train
data/dataset/spectrograms/test/Irish_dataset_common_voice_en_22857935.png,irish,test
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_19680732_speed_speed.png,filipino,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_109348_pitch_noise.png,india,train
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_497304_noise.png,irish,train
data/dataset/spectrograms/test/England_dataset___augmented_1_common_voice_en_32688701_pitch.png,england,test
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_37556148_speed_pitch.png,filipino,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_20347364_noise.png,canadian,train
data/dataset/spectrograms/test/Irish_dataset___augmented_1_common_voice_en_25455746_noise.png,irish,test
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_35098249_speed_noise.png,filipino,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_30733690_pitch_pitch.png,american,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_511796_pitch_speed.png,australian,train
data/dataset/spectrograms/train/Filipino_dataset_common_voice_en_20311852.png,filipino,train
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_34943277_noise.png,england,train
data/dataset/spectrograms/test/Filipino_dataset___augmented_2_common_voice_en_660525_noise_speed.png,filipino,test
data/dataset/spectrograms/test/Australian_dataset___augmented_2_common_voice_en_19736231_speed_pitch.png,australian,test
data/dataset/spectrograms/test/Canadian_dataset___augmented_1_common_voice_en_25076709_speed.png,canadian,test
data/dataset/spectrograms/train/Canadian_dataset___augmented_1_common_voice_en_36728916_speed.png,canadian,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_39575171_pitch_speed.png,australian,train
data/dataset/spectrograms/test/India_dataset___augmented_2_common_voice_en_616769_noise_speed.png,india,test
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_19943371_pitch_pitch.png,irish,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_39999823_noise_speed.png,irish,train
data/dataset/spectrograms/test/Scottish_dataset___augmented_2_common_voice_en_20179571_speed_pitch.png,scottish,test
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_40015498_noise_speed.png,australian,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_17758736_speed_speed.png,irish,train
data/dataset/spectrograms/test/Scottish_dataset___augmented_1_common_voice_en_618002_noise.png,scottish,test
data/dataset/spectrograms/train/Irish_dataset___augmented_1_common_voice_en_19941072_pitch.png,irish,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_39896601_pitch_speed.png,scottish,train
data/dataset/spectrograms/train/India_dataset___augmented_1_common_voice_en_39934525_speed.png,india,train
data/dataset/spectrograms/train/American_dataset___augmented_2_common_voice_en_665633_noise_noise.png,american,train
data/dataset/spectrograms/train/India_dataset_common_voice_en_36398476.png,india,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_33531509_speed_speed.png,england,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_1_common_voice_en_27004519_pitch.png,filipino,train
data/dataset/spectrograms/test/Slavic_dataset___augmented_2_common_voice_en_37301235_noise_speed.png,slavic,test
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_700097_pitch.png,england,train
data/dataset/spectrograms/train/England_dataset___augmented_1_common_voice_en_541756_noise.png,england,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_17874685_speed_noise.png,filipino,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_27132526_speed_speed.png,scottish,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_17404284_speed_noise.png,filipino,train
data/dataset/spectrograms/test/Scottish_dataset___augmented_1_common_voice_en_24787869_pitch.png,scottish,test
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_39561900_noise_noise.png,england,train
data/dataset/spectrograms/test/Irish_dataset___augmented_2_common_voice_en_17372061_speed_speed.png,irish,test
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_39585233_noise_noise_pitch.png,slavic,train
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_37025529_pitch_speed.png,england,train
data/dataset/spectrograms/train/India_dataset_common_voice_en_684092.png,india,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_3_common_voice_en_29248090_pitch_noise_noise.png,filipino,train
data/dataset/spectrograms/test/India_dataset___augmented_1_common_voice_en_31718173_speed.png,india,test
data/dataset/spectrograms/train/Slavic_dataset___augmented_2_common_voice_en_41030883_noise_pitch.png,slavic,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_17252593_speed_speed.png,irish,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_3_common_voice_en_30620884_speed_speed_pitch.png,slavic,train
data/dataset/spectrograms/train/Canadian_dataset_common_voice_en_218453.png,canadian,train
data/dataset/spectrograms/train/Irish_dataset___augmented_2_common_voice_en_39600219_noise_speed.png,irish,train
data/dataset/spectrograms/test/India_dataset___augmented_2_common_voice_en_31718173_pitch_pitch.png,india,test
data/dataset/spectrograms/train/England_dataset___augmented_2_common_voice_en_31489951_speed_pitch.png,england,train
data/dataset/spectrograms/train/Canadian_dataset_common_voice_en_57056.png,canadian,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_42578_pitch_speed.png,filipino,train
data/dataset/spectrograms/train/Slavic_dataset___augmented_1_common_voice_en_31385080_speed.png,slavic,train
data/dataset/spectrograms/train/Australian_dataset___augmented_2_common_voice_en_39192468_speed_speed.png,australian,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_31960521_pitch_speed.png,india,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_25768995_speed_speed.png,india,train
data/dataset/spectrograms/train/Filipino_dataset___augmented_2_common_voice_en_90205_speed_noise.png,filipino,train
data/dataset/spectrograms/train/Canadian_dataset___augmented_2_common_voice_en_603095_pitch_noise.png,canadian,train
data/dataset/spectrograms/train/India_dataset___augmented_2_common_voice_en_31693855_speed_pitch.png,india,train
data/dataset/spectrograms/train/Scottish_dataset___augmented_2_common_voice_en_19994917_pitch_speed.png,scottish,train
data/dataset/spectrograms/test/England_dataset___augmented_2_common_voice_en_125601_noise_speed.png,england,test
